@@,name,position
+++,Yury Trutnev,Presidential Plenipotentiary Envoy to the Far Eastern Federal District
+++,Yury Borisov,Deputy Prime Minister
+++,Viktoria Abramchenko,Deputy Prime Minister
+++,Tatyana Golikova,Deputy Prime Minister
+++,Marat Khusnullin,Deputy Prime Minister
+++,Maksut Shadayev,"Minister of Digital Development, Communications and Mass Media"
+++,Dmitry Grigorenko,Chief of the Government Staff
+++,Dmitry Grigorenko,Deputy Prime Minister
+++,Dmitry Chernyshenko,Deputy Prime Minister
+++,Andrei Belousov,First Deputy Prime Minister
+++,Alexei Overchuk,Deputy Prime Minister
+++,Alexander Novak,Deputy Prime Minister
