item,itemLabel,startDate,endDate,psid
Q100155186,"Уткин, Олег Васильевич",2000-01-18,2003-12-07,Q100155186-ADAE889C-2FE8-4DBD-8AB6-4F84AE05743C
Q100230399,"Залепухин, Николай Петрович",2000-01-18,2003-12-07,Q100230399-75F4E2FF-CD34-447E-BC33-9B99B0575ECF
Q100254920,"Гималов, Рафаэль Имамович",2000-01-18,2003-12-07,Q100254920-0D3354C6-1238-4D88-B00A-1F958DB25444
Q100452330,"Ткачёв, Александр Николаевич (1965)",2003-04-14,2003-12-07,Q100452330-64D321C7-8F46-40E4-BC6A-BA739133A10F
Q100587989,"Динес, Игорь Юрьевич",2000-01-18,2003-12-07,Q100587989-C374E0B2-7DB1-43E3-AC49-393C9FBA8866
Q100699756,"Журавлёв, Владимир Клавдиевич",2002-02-16,2003-12-07,Q100699756-A0BDE5B6-3F87-4EFE-B77A-81FBC410899B
Q100729371,"Шиманов, Александр Алексеевич",2000-01-18,2003-12-07,Q100729371-C80DB730-9519-4915-8B5B-8C4C247C29A3
Q100873283,"Леонтьев, Георгий Карпеевич",2000-01-18,2003-12-07,Q100873283-CB4DE072-EB75-4DDF-95F7-34A4580C55D5
Q101086416,"Кузнецов, Василий Федотович",2000-01-18,2003-12-07,Q101086416-933CBDBA-59DB-4C5B-80E0-8007AC3E7350
Q101094857,"Медведев, Юрий Германович",2000-01-18,2003-12-07,Q101094857-352F08B9-1E26-4C11-91C5-788A71A6FADE
Q101116109,Василий Михайлович Ивер,2000-01-18,2003-12-07,Q101116109-8509D91C-CD3B-4873-92AF-154CC0C7E4B3
Q101161717,"Ивлев, Иван Алексеевич",2000-01-18,2003-12-07,Q101161717-46F1C44B-3570-4E97-A34E-9BB3750EC8DD
Q101239112,"Амирханов, Алихан Хусейнович",2001-04-20,2003-12-07,Q101239112-68589D39-C759-4678-BCC2-41F963694ED2
Q101276486,"Зяблицев, Евгений Геннадьевич",2000-04-07,2003-12-07,Q101276486-55CCDEE4-3D2B-4642-8FF4-6D0F60402E18
Q101342253,"Мещерин, Иван Васильевич",2000-01-18,2003-12-07,Q101342253-7E58BE3C-2DE0-46D8-9041-C59CF10C1A34
Q101354967,"Лоторев, Александр Николаевич",2000-01-18,2003-12-07,Q101354967-6ADFAD9B-CEDA-4055-A10B-4FE6FD2E801C
Q101380272,"Пискун, Николай Леонидович",2000-01-18,2003-12-07,Q101380272-6E90DBE0-A40D-4AF0-BB1D-A5697164FF49
Q101386802,"Галушкин, Василий Иванович",1999-12-19,2003-12-29,Q101386802-c49a364c-44c3-1a49-6e67-d46864237836
Q101403107,"Орголайнен, Александр Арович",2000-01-18,2003-12-07,Q101403107-B6B018F7-B8DE-45DD-82DD-E569556B28D6
Q101403810,"Гребенюк, Владимир Дмитриевич",2000-01-18,2003-12-07,Q101403810-E15DB7D7-9ED7-49D4-AED6-0BC1FBECF9C3
Q101404213,"Конев, Юрий Михайлович",2000-01-18,2003-12-07,Q101404213-0626F781-8C29-4219-B9AA-BE8EF1D206E4
Q101405426,"Буткеев, Владимир Анатольевич",2000-01-18,2003-12-07,Q101405426-647B2B42-A1DE-4241-A1B7-EBE2CE539D92
Q101406811,"Широков, Сергей Валентинович",2000-01-18,2003-12-07,Q101406811-EF14E3FF-3967-4311-8769-7B92611FFFEF
Q101417645,"Опекунов, Виктор Семёнович",2000-01-18,2003-12-07,Q101417645-2FDDE5B1-BEC0-4C52-BD4B-BAE4DC1787B1
Q101438765,"Прощин, Сергей Александрович",2000-01-18,2003-12-07,Q101438765-91A1CDCB-7638-4129-8967-47FF7F051431
Q101482132,Михаил Александрович Таранцов,1995-12-17,2000-01,Q101482132-8c13dfce-4455-9d32-027e-31e6daab2d18
Q101523153,"Захаров, Иван Васильевич",2000-01-18,2003-12-07,Q101523153-828801A6-2DE8-4955-8C1D-7D6A67989740
Q101525364,"Зорькин, Вячеслав Алексеевич",2000-01-18,2003-12-07,Q101525364-59ADB80B-EA3E-4801-859F-C00142CEFE46
Q101532682,"Золотилин, Сергей Александрович",2000-01-18,2003-12-07,Q101532682-5EC70206-E8E9-4247-B35B-3AC4E2EDF22F
Q101533226,"Певцов, Владимир Андреевич",2000-01-18,2003-12-07,Q101533226-E377EA8C-B5BC-4A5B-BE40-66C6552DEA80
Q101565889,"Литвинов, Владимир Александрович",2000-01-18,2003-12-07,Q101565889-BCF4E966-9D1A-4AC6-9ED6-C93F41086900
Q101583205,"Волковский, Василий Иванович",2000-01-18,2003-12-07,Q101583205-90A96D37-9941-4FDA-B320-F10124E88F20
Q101978942,"Черёмушкин, Василий Павлович",2000-01-18,2003-12-07,Q101978942-69986BEA-A7B9-483B-B4C8-6B37D30BD71C
Q102035733,"Тетерин, Василий Николаевич",2000-01-18,2003-12-07,Q102035733-F3EC7C55-7711-4B0A-AA8C-CE0B82B8CBC0
Q102037569,Стрельченко Сергей Георгиевич,2000-01-18,2003-12-07,Q102037569-A7DC2376-6A7D-4607-B540-9EA367753A50
Q102071337,"Останин, Валерий Сергеевич",2000-01-18,2003-12-07,Q102071337-43FC7391-6F43-41A1-9296-B2B11127F7B5
Q102113210,"Чуприна, Николай Нестерович",2000-01-18,2003-12-07,Q102113210-3ACB1C85-EE31-41B8-BADC-676531273D9F
Q102113802,"Чикулаев, Сергей Николаевич",2000-01-18,2003-12-07,Q102113802-EC879EB1-0456-4E70-9F69-70B4D03F4F53
Q102114269,"Чекис, Анатолий Владимирович",2000-01-18,2003-12-07,Q102114269-2CA5CA98-9D64-4CCD-8FFB-E9C0A4262824
Q102115686,"Томов, Алексей Николаевич",2000-01-18,2003-12-07,Q102115686-44243A2A-D7BF-46FA-8FF7-1E298EF8A85C
Q102155213,"Тарачев, Владимир Александрович",2000-01-18,2003-12-07,Q102155213-458EB0F0-F22E-4054-BEFE-809D47AEBF9F
Q102157625,"Лобов, Сергей Сергеевич",2000-01-18,2003-12-07,Q102157625-37AFCCBE-F90E-48E1-A470-C06E848551AD
Q102164752,"Лунцевич, Валентин Васильевич",2000-01-18,2003-12-07,Q102164752-CACD3CA3-CF44-4579-B2F6-AC5869AB0F23
