item,itemLabel,startDate,endDate
Q4054685,"Абельцев, Сергей Николаевич",2003-12-29,2007-12-24
Q4055679,"Аверченко, Владимир Александрович",2003-12-29,2007-12-24
Q15063908,"Агеев, Александр Александрович",2003-12-29,2007-12-24
Q4058155,"Азарова, Надежда Борисовна",2003-12-29,2007-12-24
Q4059843,"Аксаков, Анатолий Геннадьевич",2003-12-29,2007-12-24
Q2997793,"Алкснис, Виктор Имантович",2003-12-29,2007-12-24
Q183279,"Алфёров, Жорес Иванович",2003-12-29,2007-12-24
Q4064369,"Амиров, Курбан-Али Амирович",2003-12-29,2007-12-24
Q4066854,"Анохин, Павел Викторович",2003-12-29,2007-12-24
Q2029013,"Антуфьев, Сергей Владимирович",2003-12-29,2007-12-24
Q4067946,"Апарина, Алевтина Викторовна",2003-12-29,2007-12-24
Q27893123,"Аристов, Александр Михайлович",2003-12-29,2007-12-24
Q4071023,"Аршба, Отари Ионович",2003-12-29,2007-12-24
Q4071201,"Асеев, Владимир Михайлович",2003-12-29,2007-12-24
Q4072492,"Аушев, Мухарбек Измаилович",2003-12-29,2007-12-24
Q4072579,"Афанасьев, Александр Михайлович",2003-12-29,2007-12-24
Q4072680,"Афанасьева, Елена Владимировна",2003-12-29,2007-12-24
Q4072728,"Афендулов, Сергей Алексеевич",2003-12-29,2007-12-24
Q4073512,"Ашлапов, Николай Иванович",2003-12-29,2007-12-24
Q4073742,"Аюпов, Мансур Анварович",2003-12-29,2007-12-24
Q2833421,"Бабаков, Александр Михайлович",2003-12-29,2007-12-24
Q4074398,"Бабич, Михаил Викторович",2003-12-29,2007-12-24
Q62712759,"Бабошкин, Анатолий Васильевич",2003-12-29,2007-12-24
Q2529319,"Бабурин, Сергей Николаевич",2003-12-29,2007-12-24
Q4074781,"Багишаев, Зайнулла Абдулгалимович",2003-12-29,2007-12-24
Q101861422,"Бадалов, Рубен Михайлович",2004-04-26,2007-12-24
Q1771625,"Баков, Антон Алексеевич",2003-12-29,2007-12-24
Q4078185,"Баржанова, Маргарита Валерьевна",2003-12-29,2007-12-24
