item,itemLabel,startDate,endDate,psid
Q100146291,Boris Gutin,2004-06-02,2006-05-26,Q100146291-E972355A-94EE-4766-8FDF-965956D9EBF8
Q100332986,Nina Kulikovskikh,2020-09-18,,Q100332986-B3D9058A-4962-48D9-B048-1584210E1E46
Q100678083,Leonid Mostovoy,2003-12-29,2004-12-08,Q100678083-E27588D1-6A76-4C96-899D-87079A2B9421
Q100869490,Andrey Chirkin,2001-12-15,2005,Q100869490-385937B3-27A3-4313-B226-34EC92E8150D
Q101003401,Valentin Chernyavsky,2002-05-16,2005-12-14,Q101003401-8BB70AAE-ED82-4916-8D98-8AE7B67BB9AD
Q101079330,Dmitry Skarga,2004-10-28,2006-09-25,Q101079330-fe11f153-47c3-4a4f-775c-a20d85846a71
Q101080640,Sergey Agaptsov,2001-01-25,2004-06-09,Q101080640-387b836e-4e93-73c2-d318-dd5e7c680ed8
Q101097189,Viktor Nefyodov,2001-12-21,2003-12-07,Q101097189-15172A1A-884E-488F-94A9-6B4FCDFA36E1
Q101354967,Aleksandr Lotorev,2005-12-07,2011-12,Q101354967-56439E9C-F025-47A8-91A1-D7113298124C
Q102078222,Pavel Berks,2003-12-26,2008-01-30,Q102078222-AC96E1FF-953B-4F37-B778-2DD972722C81
Q102119674,Valery Tikhomirov,2001-12-04,2004-02-17,Q102119674-06415B1E-E3AF-4FC5-B8D6-90E6FB1DD275
Q102852607,Konstantin Meremyanin,2002-01-01,2003-01-10,Q102852607-C09A1B23-7C2A-45B6-B4F3-E1CCC29EC0CD
Q105105146,Marina Rogachyova,2004-05-21,2009-02-16,Q105105146-F901FBBF-F647-4574-AABD-712BC73D5D5A
Q105579422,Sergey Beryozkin,2020-06-18,,Q105579422-37EE0DA3-E3D0-486F-9B29-8969F3BCAC47
Q1062350,Oleg Chirkunov,2001-01,2004-03,Q1062350-2099C7FC-E09E-42BC-829E-949AF270820F
Q106321265,Lyudmila Kozlova,2013-09-26,2018-09-27,Q106321265-60FAA7D7-A280-446C-87CF-6248A02EF709
Q106465665,Vladimir Beryozov,2002-01-18,2002-06-18,Q106465665-17426DAD-6E0F-4EA6-96B6-B356320909CF
Q106474325,Yelena Shumilova,2020-09-24,,Q106474325-25085819-837A-43B0-9294-627A046C683E
Q106489850,Konstantin Surkov,2010-12-15,2013-09-16,Q106489850-D6BB3A80-3B12-481E-89A5-A76C282FCC2D
Q106489897,Yevgeny Gromyko,2014-01-22,2015-07-25,Q106489897-9A246088-79C3-4869-AEF9-ED94D02B997F
